CATEGORIA,SUB CATEGORIA,MAQUINA,MEDIDAS (mm),TIPO MEDIDA,PESO (kg),FOB SHANGHAI (USD),SEÑA,COSTO CON IVA,VENT SIN IVA,VENT CON IVA,,URL Ficha PDF,,
PLEGADORA,HIDRAULICA NC (TP10S),40T/1600mm,1800x1340x2000,Maquina,1200,5580,5859,11160,11614.479638009048,12833.999999999998,🔵 Máquina: Plegadora Hidráulica NC 40T/1600mm,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,🔵 Máquina: Plegadora Hidráulica NC 40T/1600mm
PLEGADORA,HIDRAULICA CNC (DA53TX),40T/1600mm,1800x1340x2000,Maquina,1200,12750,13387.5,25500,26538.461538461535,29324.999999999996,🔵 Máquina: Plegadora Hidráulica CNC 40T/1600mm,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"⚙️ Especificaciones: Plegadora hidráulica de 40 toneladas con largo útil de 1600 mm. Pliega hasta ~2 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar."
PLEGADORA,HIDRAULICA NC (TP10S),40T/2500mm,2700x1340x2000,Maquina,2300,5780,6069,11560,12030.769230769229,13293.999999999998,🔵 Máquina: Plegadora Hidráulica NC 40T/2500mm,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,📐 Dimensiones: 1800 x 1340 x 2000 mm
PLEGADORA,HIDRAULICA CNC (DA53TX),40T/2500mm,2700x1340x2000,Maquina,2300,14050,14752.5,28100,29244.343891402714,32314.999999999996,🔵 Máquina: Plegadora Hidráulica CNC 40T/2500mm,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,⚖️ Peso: 1200 kg
PLEGADORA,HIDRAULICA NC (TP10S),63T/2500mm,2700x1340x2250,Maquina,3600,7200,7560,14400,14986.425339366517,16560,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"💰 Seña: USD 5.859,00 (Para empezar la operacion)"
PLEGADORA,HIDRAULICA CNC (DA53TX),63T/2500mm,2700x1340x2250,Maquina,3600,16580,17409,33160,34510.407239819004,38134,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"💰 Restante: USD 6.975,00 (Cuando llega a Argentina)"
PLEGADORA,HIDRAULICA NC (TP10S),63T/3200mm,3400x1400x2250,Maquina,4000,8500,8925,17000,17692.30769230769,19550,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"💰 Valor total sin IVA : USD 11.614,48 (Sin IVA)"
PLEGADORA,HIDRAULICA NC (TP10S),80T/2500mm,2700x1450x2250,Maquina,4000,8600,9030,17200,17900.452488687784,19780,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"💰 Valor total con IVA : USD 12.834,00 (10,5%)"
PLEGADORA,HIDRAULICA NC (TP10S),80T/3200mm,3400x1450x2250,Maquina,5000,9500,9975,19000,19773.7556561086,21850,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,¿Cómo iniciamos el proceso?
PLEGADORA,HIDRAULICA NC (TP10S),100T/2500mm,2700x1500x2420,Maquina,5800,9120,9576,18240,18982.805429864253,20976,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga."
PLEGADORA,HIDRAULICA CNC (DA53TX),100T/2500mm,2700x1500x2420,Maquina,5800,19920,20916,39840,41462.44343891403,45816,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires."
PLEGADORA,HIDRAULICA NC (TP10S),100T/3200mm,3400x1500x2420,Maquina,6000,10200,10710,20400,21230.76923076923,23460,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,
PLEGADORA,HIDRAULICA CNC (DA53TX),100T/3200mm,3400x1500x2420,Maquina,6000,20880,21924,41760,43460.63348416289,48023.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,---
PLEGADORA,HIDRAULICA NC (TP10S),100T/4000mm,4200x1500x2420,Maquina,7800,11400,11970,22800,23728.506787330312,26219.999999999996,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,
PLEGADORA,HIDRAULICA CNC (DA53TX),100T/4000mm,4200x1500x2420,Maquina,7800,21350,22417.5,42700,44438.914027149316,49104.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,🔵 Máquina: Plegadora Hidráulica CNC 40T/1600mm
PLEGADORA,HIDRAULICA NC (TP10S),125T/2500mm,2700x1550x2450,Maquina,6500,9820,10311,19640,20439.81900452489,22586,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,"⚙️ Especificaciones: Plegadora hidráulica de 40 toneladas con largo útil de 1600 mm. Pliega hasta ~2 mm de acero al carbono en largo completo. Control CNC DA53TX táctil: programación de secuencias de plegado, alta precisión y repetibilidad para series y piezas complejas."
PLEGADORA,HIDRAULICA CNC (DA53TX),125T/2500mm,2700x1550x2450,Maquina,6500,20750,21787.5,41500,43190.04524886877,47724.99999999999,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,📐 Dimensiones: 1800 x 1340 x 2000 mm
PLEGADORA,HIDRAULICA NC (TP10S),125T/3200mm,3400x1550x2450,Maquina,7000,10520,11046,21040,21896.832579185517,24195.999999999996,,https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,,⚖️ Peso: 1200 kg
